"document","rc","mutation_target","mutation_operator","discrepancy_type","preconditions","chain_role","impact_primary","primary_controls","confidence","scope"
"the-map/01-injection/prototype-pollution.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","PIVOT","DATA_EXFILTRATION","CONTEXT_AWARE_OUTPUT_ENCODING","MEDIUM","VULN"
"the-map/01-injection/sql-injection.md","RC1","PARAMETER","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","SINK","DATA_EXFILTRATION","PARAMETERIZED_EXECUTION","HIGH","VULN"
"the-map/01-injection/ssi-esi-xslt-injection.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","PIVOT","DATA_EXFILTRATION","CONTEXT_AWARE_OUTPUT_ENCODING","MEDIUM","VULN"
"the-map/01-injection/ssti.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","SINK","RCE","CONTEXT_AWARE_OUTPUT_ENCODING","HIGH","VULN"
"the-map/01-injection/xss.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","WEAK_OR_MISSING_NORMALIZATION","PIVOT","ATO","CONTEXT_AWARE_OUTPUT_ENCODING","HIGH","VULN"
"the-map/01-injection/xxe.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","SINK","DATA_EXFILTRATION","REJECT_AMBIGUOUS_INPUT","HIGH","VULN"
"the-map/02-auth/account-takeover.md","RC3","TOKEN","REPLAY","AUTH_BINDING_GAP","MISSING_STRICT_AUTH_VALIDATION","SINK","ATO","STRICT_AUTH_ALGORITHM_ALLOWLIST","MEDIUM","VULN"
"the-map/02-auth/authentication-bypass-and-sso.md","RC3","TOKEN","KEY_SUBSTITUTION","AUTH_BINDING_GAP","MISSING_STRICT_AUTH_VALIDATION","SINK","ATO","STRICT_AUTH_ALGORITHM_ALLOWLIST","HIGH","VULN"
"the-map/02-auth/cors-misconfiguration.md","RC3","TOKEN","REPLAY","AUTH_BINDING_GAP","MISSING_STRICT_AUTH_VALIDATION","SINK","ATO","STRICT_AUTH_ALGORITHM_ALLOWLIST","MEDIUM","VULN"
"the-map/02-auth/cryptographic-implementation-vulnerabilities.md","RC3","TOKEN","REPLAY","AUTH_BINDING_GAP","MISSING_STRICT_AUTH_VALIDATION","SINK","ATO","STRICT_AUTH_ALGORITHM_ALLOWLIST","MEDIUM","VULN"
"the-map/02-auth/idor-bola.md","RC4","PARAMETER","ORDER_MANIPULATION","AUTHZ_ENFORCEMENT_GAP","MISSING_STRICT_AUTH_VALIDATION","SINK","DATA_EXFILTRATION","DATA_LAYER_AUTHZ_ENFORCEMENT","HIGH","VULN"
"the-map/02-auth/jwt.md","RC3","TOKEN","KEY_SUBSTITUTION","AUTH_BINDING_GAP","MISSING_STRICT_AUTH_VALIDATION","SINK","ATO","STRICT_AUTH_ALGORITHM_ALLOWLIST","HIGH","VULN"
"the-map/02-auth/mass-assignment.md","RC4","PARAMETER","STRUCTURAL_REWRITE","AUTHZ_ENFORCEMENT_GAP","AMBIGUOUS_INPUT_ACCEPTED","SINK","PRIVILEGE_ESCALATION","DATA_LAYER_AUTHZ_ENFORCEMENT","HIGH","VULN"
"the-map/02-auth/oauth.md","RC3","TOKEN","REPLAY","AUTH_BINDING_GAP","MISSING_STRICT_AUTH_VALIDATION","SINK","ATO","STRICT_AUTH_ALGORITHM_ALLOWLIST","HIGH","VULN"
"the-map/02-auth/saml.md","RC3","TOKEN","KEY_SUBSTITUTION","AUTH_BINDING_GAP","MISSING_STRICT_AUTH_VALIDATION","SINK","ATO","STRICT_AUTH_ALGORITHM_ALLOWLIST","HIGH","VULN"
"the-map/03-http-protocol/grpc-and-trpc.md","RC2","PARSER_CONTEXT","DELIMITER_ABUSE","PARSER_DIFFERENTIAL","MULTI_PARSER_PIPELINE","ENTRY","DATA_EXFILTRATION","SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT","MEDIUM","VULN"
"the-map/03-http-protocol/http-header.md","RC2","HEADER","HEADER_POLLUTION","PARSER_DIFFERENTIAL","MULTI_PARSER_PIPELINE","ENTRY","DATA_EXFILTRATION","SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT","HIGH","VULN"
"the-map/03-http-protocol/http-parameter-pollution.md","RC2","PARAMETER","DUPLICATE_KEY","PARSER_DIFFERENTIAL","MULTI_PARSER_PIPELINE|AMBIGUOUS_INPUT_ACCEPTED","ENTRY","DATA_EXFILTRATION","REJECT_AMBIGUOUS_INPUT","HIGH","VULN"
"the-map/03-http-protocol/http-parsing-discrepancy/http3-quic-protocol-smuggling.md","RC2","PARSER_CONTEXT","DELIMITER_ABUSE","PARSER_DIFFERENTIAL","MULTI_PARSER_PIPELINE","ENTRY","DATA_EXFILTRATION","SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT","MEDIUM","VULN"
"the-map/03-http-protocol/http-parsing-discrepancy/http-censorship-bypass.md","RC2","PARSER_CONTEXT","DELIMITER_ABUSE","PARSER_DIFFERENTIAL","MULTI_PARSER_PIPELINE|AMBIGUOUS_INPUT_ACCEPTED","ENTRY","RECON_ENABLEMENT","SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT","MEDIUM","VULN"
"the-map/03-http-protocol/http-parsing-discrepancy/http-request-smuggling.md","RC2","PARSER_CONTEXT","DELIMITER_ABUSE","PARSER_DIFFERENTIAL","MULTI_PARSER_PIPELINE|AMBIGUOUS_INPUT_ACCEPTED","SINK","DATA_EXFILTRATION","SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT","HIGH","VULN"
"the-map/03-http-protocol/http-parsing-discrepancy/protocol-level-waf-bypass.md","RC2","PARSER_CONTEXT","DELIMITER_ABUSE","PARSER_DIFFERENTIAL","MULTI_PARSER_PIPELINE","ENTRY","DATA_EXFILTRATION","SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT","MEDIUM","VULN"
"the-map/03-http-protocol/http-parsing-discrepancy/reverse-proxy-misrouting.md","RC2","PARSER_CONTEXT","DELIMITER_ABUSE","PARSER_DIFFERENTIAL","MULTI_PARSER_PIPELINE","ENTRY","DATA_EXFILTRATION","SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT","MEDIUM","VULN"
"the-map/03-http-protocol/tls-security.md","RC2","PARSER_CONTEXT","DELIMITER_ABUSE","PARSER_DIFFERENTIAL","MULTI_PARSER_PIPELINE","ENTRY","DATA_EXFILTRATION","SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT","MEDIUM","VULN"
"the-map/03-http-protocol/websocket.md","RC2","PARSER_CONTEXT","DELIMITER_ABUSE","PARSER_DIFFERENTIAL","MULTI_PARSER_PIPELINE","ENTRY","DATA_EXFILTRATION","SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT","MEDIUM","VULN"
"the-map/04-server-side/arbitrary-file-write-to-rce.md","RC7","PATH","CANONICALIZATION_BYPASS","VALIDATION_GAP","WEAK_OR_MISSING_NORMALIZATION","SINK","RCE","REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK","MEDIUM","VULN"
"the-map/04-server-side/arbitrary-object-instantiation.md","RC6","SERIALIZED_OBJECT","GADGET_CHAINING","TRUST_BOUNDARY_BREAK","AMBIGUOUS_INPUT_ACCEPTED","SINK","RCE","SAFE_DESERIALIZATION_POLICY","HIGH","VULN"
"the-map/04-server-side/deserialization.md","RC6","SERIALIZED_OBJECT","GADGET_CHAINING","TRUST_BOUNDARY_BREAK","AMBIGUOUS_INPUT_ACCEPTED","SINK","RCE","SAFE_DESERIALIZATION_POLICY","HIGH","VULN"
"the-map/04-server-side/document-media-processing-library-rce.md","RC7","PATH","CANONICALIZATION_BYPASS","VALIDATION_GAP","WEAK_OR_MISSING_NORMALIZATION","SINK","RCE","REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK","MEDIUM","VULN"
"the-map/04-server-side/email-smuggling-and-parser-abuse.md","RC7","PATH","CANONICALIZATION_BYPASS","VALIDATION_GAP","WEAK_OR_MISSING_NORMALIZATION","SINK","RCE","REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK","MEDIUM","VULN"
"the-map/04-server-side/file-download.md","RC7","PATH","CANONICALIZATION_BYPASS","VALIDATION_GAP","WEAK_OR_MISSING_NORMALIZATION","SINK","DATA_EXFILTRATION","REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK","HIGH","VULN"
"the-map/04-server-side/file-upload.md","RC7","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","SINK","RCE","REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK|REJECT_AMBIGUOUS_INPUT","HIGH","VULN"
"the-map/04-server-side/http-pipelining-attack.md","RC7","PATH","CANONICALIZATION_BYPASS","VALIDATION_GAP","WEAK_OR_MISSING_NORMALIZATION","SINK","RCE","REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK","MEDIUM","VULN"
"the-map/04-server-side/jaas-attack.md","RC7","PATH","CANONICALIZATION_BYPASS","VALIDATION_GAP","WEAK_OR_MISSING_NORMALIZATION","SINK","RCE","REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK","MEDIUM","VULN"
"the-map/04-server-side/jdbc-attack.md","RC7","PATH","CANONICALIZATION_BYPASS","VALIDATION_GAP","WEAK_OR_MISSING_NORMALIZATION","SINK","RCE","REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK","MEDIUM","VULN"
"the-map/04-server-side/jmx-attack.md","RC7","PATH","CANONICALIZATION_BYPASS","VALIDATION_GAP","WEAK_OR_MISSING_NORMALIZATION","SINK","RCE","REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK","MEDIUM","VULN"
"the-map/04-server-side/jndi-injection.md","RC7","PATH","CANONICALIZATION_BYPASS","VALIDATION_GAP","WEAK_OR_MISSING_NORMALIZATION","SINK","RCE","REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK","MEDIUM","VULN"
"the-map/04-server-side/path-traversal.md","RC7","PATH","CANONICALIZATION_BYPASS","CANONICALIZATION_GAP","WEAK_OR_MISSING_NORMALIZATION","ENTRY","DATA_EXFILTRATION","STRICT_CANONICALIZATION_AT_ENTRY|REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK","HIGH","VULN"
"the-map/04-server-side/rmi.md","RC7","PATH","CANONICALIZATION_BYPASS","VALIDATION_GAP","WEAK_OR_MISSING_NORMALIZATION","SINK","RCE","REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK","MEDIUM","VULN"
"the-map/04-server-side/ssrf.md","RC7","URL","ORDER_MANIPULATION","VALIDATION_GAP","MISSING_EGRESS_RESTRICTION|ATTACKER_CONTROLLED_REDIRECT_OR_CALLBACK","SINK","SSRF_INTERNAL_ACCESS","REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK|EGRESS_NETWORK_SEGMENTATION","HIGH","VULN"
"the-map/05-client-side/browser-extension-security.md","RC9","PARSER_CONTEXT","CONTEXT_SWITCH","SIDE_CHANNEL_LEAK","CROSS_COMPONENT_TRUST","PIVOT","DATA_EXFILTRATION","CONSTANT_TIME_AND_GENERIC_ERRORS","MEDIUM","VULN"
"the-map/05-client-side/browser-security-model.md","RC9","PARSER_CONTEXT","CONTEXT_SWITCH","SIDE_CHANNEL_LEAK","CROSS_COMPONENT_TRUST","PIVOT","DATA_EXFILTRATION","CONSTANT_TIME_AND_GENERIC_ERRORS","MEDIUM","VULN"
"the-map/05-client-side/cookie.md","RC9","PARSER_CONTEXT","CONTEXT_SWITCH","SIDE_CHANNEL_LEAK","CROSS_COMPONENT_TRUST","PIVOT","DATA_EXFILTRATION","CONSTANT_TIME_AND_GENERIC_ERRORS","MEDIUM","VULN"
"the-map/05-client-side/cross-site-script-inclusion.md","RC9","PARSER_CONTEXT","CONTEXT_SWITCH","SIDE_CHANNEL_LEAK","CROSS_COMPONENT_TRUST","PIVOT","DATA_EXFILTRATION","CONSTANT_TIME_AND_GENERIC_ERRORS","MEDIUM","VULN"
"the-map/05-client-side/csrf.md","RC5","STATE_TRANSITION","REPLAY","STATE_DESYNC","MISSING_STRICT_AUTH_VALIDATION","SINK","ATO","IDEMPOTENCY_KEYS_AND_ATOMIC_LOCKING","HIGH","VULN"
"the-map/05-client-side/desktop-hybrid-app-security.md","RC9","PARSER_CONTEXT","CONTEXT_SWITCH","SIDE_CHANNEL_LEAK","CROSS_COMPONENT_TRUST","PIVOT","DATA_EXFILTRATION","CONSTANT_TIME_AND_GENERIC_ERRORS","MEDIUM","VULN"
"the-map/05-client-side/dom-clobbering.md","RC9","PARSER_CONTEXT","CONTEXT_SWITCH","SIDE_CHANNEL_LEAK","CROSS_COMPONENT_TRUST","PIVOT","DATA_EXFILTRATION","CONSTANT_TIME_AND_GENERIC_ERRORS","MEDIUM","VULN"
"the-map/05-client-side/mutation-xss.md","RC1","NAMESPACE","CONTEXT_SWITCH","PARSER_DIFFERENTIAL","MULTI_PARSER_PIPELINE|WEAK_OR_MISSING_NORMALIZATION","PIVOT","ATO","SINGLE_AUTHORITATIVE_PARSER|CONTEXT_AWARE_OUTPUT_ENCODING","HIGH","VULN"
"the-map/05-client-side/open-redirect.md","RC9","PARSER_CONTEXT","CONTEXT_SWITCH","SIDE_CHANNEL_LEAK","CROSS_COMPONENT_TRUST","PIVOT","DATA_EXFILTRATION","CONSTANT_TIME_AND_GENERIC_ERRORS","MEDIUM","VULN"
"the-map/05-client-side/rpo.md","RC9","PARSER_CONTEXT","CONTEXT_SWITCH","SIDE_CHANNEL_LEAK","CROSS_COMPONENT_TRUST","PIVOT","DATA_EXFILTRATION","CONSTANT_TIME_AND_GENERIC_ERRORS","MEDIUM","VULN"
"the-map/05-client-side/service-worker.md","RC9","PARSER_CONTEXT","CONTEXT_SWITCH","SIDE_CHANNEL_LEAK","CROSS_COMPONENT_TRUST","PIVOT","DATA_EXFILTRATION","CONSTANT_TIME_AND_GENERIC_ERRORS","MEDIUM","VULN"
"the-map/05-client-side/ui-redressing.md","RC9","PARSER_CONTEXT","CONTEXT_SWITCH","SIDE_CHANNEL_LEAK","CROSS_COMPONENT_TRUST","PIVOT","DATA_EXFILTRATION","CONSTANT_TIME_AND_GENERIC_ERRORS","MEDIUM","VULN"
"the-map/05-client-side/universal-xss.md","RC9","PARSER_CONTEXT","CONTEXT_SWITCH","SIDE_CHANNEL_LEAK","CROSS_COMPONENT_TRUST","PIVOT","DATA_EXFILTRATION","CONSTANT_TIME_AND_GENERIC_ERRORS","MEDIUM","VULN"
"the-map/05-client-side/xs-leak.md","RC9","PARSER_CONTEXT","CONTEXT_SWITCH","SIDE_CHANNEL_LEAK","CROSS_COMPONENT_TRUST","PIVOT","DATA_EXFILTRATION","CONSTANT_TIME_AND_GENERIC_ERRORS","MEDIUM","VULN"
"the-map/06-encoding-parser/type-confusion-and-coercion.md","RC2","PARAMETER","TYPE_COERCION","CANONICALIZATION_GAP","WEAK_OR_MISSING_NORMALIZATION","ENTRY","DATA_EXFILTRATION","STRICT_CANONICALIZATION_AT_ENTRY","MEDIUM","VULN"
"the-map/06-encoding-parser/unicode.md","RC2","PARAMETER","TYPE_COERCION","CANONICALIZATION_GAP","WEAK_OR_MISSING_NORMALIZATION","ENTRY","DATA_EXFILTRATION","STRICT_CANONICALIZATION_AT_ENTRY","MEDIUM","VULN"
"the-map/06-encoding-parser/url-confusion.md","RC2","URL","CANONICALIZATION_BYPASS","PARSER_DIFFERENTIAL","MULTI_PARSER_PIPELINE|AMBIGUOUS_INPUT_ACCEPTED","ENTRY","SSRF_INTERNAL_ACCESS","SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT","HIGH","VULN"
"the-map/06-encoding-parser/zip-archive.md","RC2","PARAMETER","TYPE_COERCION","CANONICALIZATION_GAP","WEAK_OR_MISSING_NORMALIZATION","ENTRY","DATA_EXFILTRATION","STRICT_CANONICALIZATION_AT_ENTRY","MEDIUM","VULN"
"the-map/07-application-logic/business-logic-bug.md","RC5","STATE_TRANSITION","ORDER_MANIPULATION","VALIDATION_GAP","MISSING_STRICT_AUTH_VALIDATION","SINK","INTEGRITY_TAMPERING","DATA_LAYER_AUTHZ_ENFORCEMENT","MEDIUM","VULN"
"the-map/07-application-logic/implicit-trust-boundary.md","RC5","STATE_TRANSITION","ORDER_MANIPULATION","VALIDATION_GAP","MISSING_STRICT_AUTH_VALIDATION","SINK","INTEGRITY_TAMPERING","DATA_LAYER_AUTHZ_ENFORCEMENT","MEDIUM","VULN"
"the-map/07-application-logic/numeric-and-boundary-logic.md","RC5","STATE_TRANSITION","TYPE_COERCION","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","SINK","FINANCIAL_FRAUD","DATA_LAYER_AUTHZ_ENFORCEMENT","HIGH","VULN"
"the-map/07-application-logic/state-machine-violation.md","RC5","STATE_TRANSITION","ORDER_MANIPULATION","VALIDATION_GAP","MISSING_STRICT_AUTH_VALIDATION","SINK","INTEGRITY_TAMPERING","DATA_LAYER_AUTHZ_ENFORCEMENT","MEDIUM","VULN"
"the-map/07-application-logic/web-race-condition.md","RC5","STATE_TRANSITION","RACE_PARALLELIZATION","STATE_DESYNC","MISSING_ATOMICITY","SINK","FINANCIAL_FRAUD","IDEMPOTENCY_KEYS_AND_ATOMIC_LOCKING","HIGH","VULN"
"the-map/07-application-logic/web-timing-attack.md","RC5","STATE_TRANSITION","ORDER_MANIPULATION","VALIDATION_GAP","MISSING_STRICT_AUTH_VALIDATION","SINK","INTEGRITY_TAMPERING","DATA_LAYER_AUTHZ_ENFORCEMENT","MEDIUM","VULN"
"the-map/08-infrastructure/api-inventory-management.md","RC8","TRUST_CHANNEL","ORDER_MANIPULATION","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","SINK","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/08-infrastructure/ci-cd-pipeline-security.md","RC8","TRUST_CHANNEL","ORDER_MANIPULATION","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","SINK","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/08-infrastructure/container-orchestration-infrastructure-rce.md","RC8","TRUST_CHANNEL","ORDER_MANIPULATION","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","SINK","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/08-infrastructure/dependency-confusion.md","RC8","NAMESPACE","KEY_SUBSTITUTION","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","ENTRY","RCE","REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK|CONTROL_PLANE_HARDENING","HIGH","VULN"
"the-map/08-infrastructure/developer-toolchain-build-system-rce.md","RC8","TRUST_CHANNEL","ORDER_MANIPULATION","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","SINK","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/08-infrastructure/insecure-management-interface.md","RC8","TRUST_CHANNEL","ORDER_MANIPULATION","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","SINK","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/08-infrastructure/jetty-vulnerability-taxonomy.md","RC8","TRUST_CHANNEL","ORDER_MANIPULATION","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","SINK","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/08-infrastructure/nginx-vulnerability-taxonomy.md","RC8","TRUST_CHANNEL","ORDER_MANIPULATION","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","SINK","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/08-infrastructure/secondary-context-attack.md","RC8","TRUST_CHANNEL","ORDER_MANIPULATION","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","SINK","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/08-infrastructure/sharepoint-vulnerability-taxonomy.md","RC6","SERIALIZED_OBJECT","GADGET_CHAINING","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST|MISSING_STRICT_AUTH_VALIDATION","SINK","RCE","SAFE_DESERIALIZATION_POLICY|CONTROL_PLANE_HARDENING","HIGH","VULN"
"the-map/08-infrastructure/waf-bypass.md","RC9","PAYLOAD_BODY","ENCODING_SHIFT","CONTROL_EVASION","UNSAFE_DEFAULT_ENABLED|WEAK_OR_MISSING_NORMALIZATION","AMPLIFIER","RECON_ENABLEMENT","REJECT_AMBIGUOUS_INPUT|CONTROL_PLANE_HARDENING","HIGH","VULN"
"the-map/08-infrastructure/web-cache-poisoning-and-deception.md","RC2","CACHE_KEY","HEADER_POLLUTION","PARSER_DIFFERENTIAL","MULTI_PARSER_PIPELINE|AMBIGUOUS_INPUT_ACCEPTED","PIVOT","DATA_EXFILTRATION","SINGLE_AUTHORITATIVE_PARSER|STRICT_CANONICALIZATION_AT_ENTRY","HIGH","VULN"
"the-map/09-frameworks-and-languages/aem.md","RC8","TRUST_CHANNEL","STRUCTURAL_REWRITE","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","ENTRY","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/09-frameworks-and-languages/asp-dot-net.md","RC8","TRUST_CHANNEL","STRUCTURAL_REWRITE","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","ENTRY","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/09-frameworks-and-languages/django.md","RC8","TRUST_CHANNEL","STRUCTURAL_REWRITE","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","ENTRY","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/09-frameworks-and-languages/java.md","RC8","TRUST_CHANNEL","STRUCTURAL_REWRITE","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","ENTRY","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/09-frameworks-and-languages/modern-js-frameworks.md","RC8","TRUST_CHANNEL","STRUCTURAL_REWRITE","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","ENTRY","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/09-frameworks-and-languages/nextjs.md","RC8","TRUST_CHANNEL","STRUCTURAL_REWRITE","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","ENTRY","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/09-frameworks-and-languages/nodejs.md","RC8","TRUST_CHANNEL","STRUCTURAL_REWRITE","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","ENTRY","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/09-frameworks-and-languages/orm-leak.md","RC8","TRUST_CHANNEL","STRUCTURAL_REWRITE","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","ENTRY","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/09-frameworks-and-languages/php.md","RC8","TRUST_CHANNEL","STRUCTURAL_REWRITE","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","ENTRY","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/09-frameworks-and-languages/ruby-on-rails.md","RC8","TRUST_CHANNEL","STRUCTURAL_REWRITE","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","ENTRY","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
"the-map/09-frameworks-and-languages/salesforce-lightning-platform-security.md","RC8","TRUST_CHANNEL","STRUCTURAL_REWRITE","TRUST_BOUNDARY_BREAK","CROSS_COMPONENT_TRUST","ENTRY","PRIVILEGE_ESCALATION","CONTROL_PLANE_HARDENING","MEDIUM","VULN"
